;Date;canyon;detector
632;18/07/2017;Arugot;proximity loggers
633;18/07/2017;Arugot;proximity loggers
634;18/07/2017;Arugot;proximity loggers
635;18/07/2017;Arugot;proximity loggers
636;18/07/2017;Arugot;proximity loggers
637;18/07/2017;Arugot;proximity loggers
638;18/07/2017;Arugot;proximity loggers
639;18/07/2017;Arugot;proximity loggers
640;18/07/2017;Arugot;proximity loggers
641;18/07/2017;Arugot;proximity loggers
642;20/07/2017;Arugot;proximity loggers
643;20/07/2017;Arugot;proximity loggers
644;20/07/2017;Arugot;proximity loggers
645;20/07/2017;Arugot;proximity loggers
646;21/07/2017;Arugot;proximity loggers
647;21/07/2017;Arugot;proximity loggers
648;21/07/2017;Arugot;proximity loggers
649;21/07/2017;Arugot;proximity loggers
650;21/07/2017;Arugot;proximity loggers
651;21/07/2017;Arugot;proximity loggers
652;21/07/2017;Arugot;proximity loggers
653;22/07/2017;Arugot;proximity loggers
654;22/07/2017;Arugot;proximity loggers
655;22/07/2017;Arugot;proximity loggers
656;22/07/2017;Arugot;proximity loggers
657;22/07/2017;Arugot;proximity loggers
658;23/07/2017;Arugot;proximity loggers
659;23/07/2017;Arugot;proximity loggers
660;23/07/2017;Arugot;proximity loggers
661;24/07/2017;Arugot;proximity loggers
662;24/07/2017;Arugot;proximity loggers
663;24/07/2017;Arugot;proximity loggers
664;24/07/2017;Arugot;proximity loggers
